UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLISTS INJURED,CYCLISTS KILLED,MOTORISTS INJURED,MOTORISTS KILLED,VEHICLE 1 TYPE,VEHICLE 2 TYPE,VEHICLE 3 TYPE,VEHICLE 4 TYPE,VEHICLE 5 TYPE,VEHICLE 1 FACTOR,VEHICLE 2 FACTOR,VEHICLE 3 FACTOR,VEHICLE 4 FACTOR,VEHICLE 5 FACTOR
3151580,01/12/2015,16:00,,,,,,WESTCHESTER AVENUE,BLONDELL AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3153025,01/12/2015,16:00,,,40.7549013,-73.7454772,"(40.7549013, -73.7454772)",,,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,DRIVER INATTENTION/DISTRACTION,DRIVER INATTENTION/DISTRACTION,,,
3152191,01/12/2015,16:00,BROOKLYN,11209,40.6243002,-74.0277346,"(40.6243002, -74.0277346)",84 STREET,4 AVENUE,,1,0,0,0,0,0,1,0,PASSENGER VEHICLE,,,,,DRIVER INEXPERIENCE,,,,
3151511,01/12/2015,16:00,,,,,,,,,1,0,0,0,0,0,1,0,VAN,SPORT UTILITY/STATION WAGON,,,,LOST CONSCIOUSNESS,UNSPECIFIED,,,
3151769,01/12/2015,16:00,QUEENS,11433,40.707935,-73.7856861,"(40.707935, -73.7856861)",175 STREET,JAMAICA AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,TURNING IMPROPERLY,UNSPECIFIED,,,
3152360,01/12/2015,16:00,,,,,,69 STREET,QUEENS MIDTOWN EXPRESSWAY,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3151933,01/12/2015,16:05,MANHATTAN,10018,40.755251,-73.9986609,"(40.755251, -73.9986609)",10 AVENUE,WEST 35 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,VAN,,,,UNSPECIFIED,UNSPECIFIED,,,
3152404,01/12/2015,16:05,QUEENS,11367,40.7201404,-73.8206076,"(40.7201404, -73.8206076)",VLEIGH PLACE,77 ROAD,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,,,
3152379,01/12/2015,16:10,QUEENS,11426,40.7250114,-73.7220434,"(40.7250114, -73.7220434)",JAMAICA AVENUE,246 STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,,PAVEMENT SLIPPERY,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,,
3151689,01/12/2015,16:13,BROOKLYN,11231,40.6836292,-73.9975518,"(40.6836292, -73.9975518)",SACKETT STREET,CLINTON STREET,,2,0,2,0,0,0,0,0,PASSENGER VEHICLE,,,,,UNSPECIFIED,,,,
